bootstrap,band_size,loto_mean_band_rank,loto_mean_rep_rank
0,5,0.2363914569587233,0.235
1,4,0.2423436533704391,0.2546938775510204
2,7,0.2317584458595468,0.2415306122448979
3,6,0.2484506802721088,0.2490816326530612
4,5,0.2526480806608357,0.2368367346938775
5,3,0.2534828385899814,0.244795918367347
6,4,0.2331547619047619,0.2554081632653061
7,8,0.2129635568513119,0.2180612244897959
8,6,0.2252524295432459,0.235
9,5,0.2473575680272108,0.2958163265306122
10,5,0.2312610395035207,0.2706122448979591
11,4,0.2443950913698813,0.2424489795918367
12,5,0.2249251700680272,0.2451020408163265
13,8,0.2246756559766763,0.2783673469387755
14,7,0.2186030126336248,0.2313265306122449
15,4,0.2438265306122448,0.2507142857142858
16,3,0.2464723032069971,0.2342857142857143
17,4,0.2351290854687739,0.2462244897959183
18,2,0.2505816326530612,0.271938775510204
19,5,0.2319368131868131,0.226734693877551
20,4,0.2478633786848072,0.241734693877551
21,7,0.2264875099390405,0.2710204081632653
22,6,0.2496712018140589,0.2691836734693877
23,5,0.2427991407089151,0.2960204081632653
24,6,0.2517271908763505,0.2962244897959183
25,6,0.2528780921459492,0.2628571428571428
26,9,0.226566149836558,0.2407142857142857
27,6,0.2508821543655056,0.2780612244897959
28,8,0.2429065061922205,0.2174489795918367
29,1,0.2492735042735042,0.2575510204081633
30,4,0.24643475572047,0.2431632653061224
31,8,0.2152276408398857,0.2218367346938775
32,3,0.2687594752186589,0.2679591836734694
33,1,0.2568564139941691,0.2642857142857143
34,2,0.2730918367346939,0.2975510204081633
35,6,0.227746720116618,0.2605102040816326
36,7,0.2366383219954648,0.2621428571428571
37,4,0.239884110787172,0.2442857142857143
38,6,0.2239081923942172,0.2179591836734694
39,6,0.240860544217687,0.225
40,5,0.2573631762228701,0.2622448979591837
41,4,0.2295416666666666,0.2435714285714285
42,6,0.2402630385487528,0.2586734693877551
43,4,0.2413791820424473,0.2315306122448979
44,4,0.2417261393279116,0.2662244897959183
45,4,0.2467910779696494,0.3001020408163265
46,5,0.2352325845922784,0.2280612244897959
47,3,0.25323920722135,0.2516326530612245
48,4,0.2388873906705539,0.2446938775510204
49,7,0.2275133096716947,0.2125510204081632
50,5,0.2311763848396501,0.2616326530612245
51,2,0.2651509408958389,0.2845918367346938
52,9,0.2300539282146425,0.2171428571428571
53,2,0.2596924198250728,0.2704081632653061
54,2,0.2495238095238095,0.2643877551020408
55,7,0.2360677842565597,0.221938775510204
56,5,0.2302624529665345,0.2262244897959184
57,4,0.2440238095238095,0.2272448979591836
58,4,0.2811914480077745,0.3121428571428571
59,4,0.236266306522609,0.2630612244897959
60,8,0.2379538092293194,0.2325510204081632
61,5,0.2330483920841063,0.2710204081632653
62,7,0.2354132653061224,0.2016326530612245
63,7,0.217984693877551,0.2362244897959183
64,10,0.2249639306271959,0.2474489795918367
65,5,0.2253220580439968,0.2479591836734694
66,4,0.2460981535471331,0.2404081632653061
67,6,0.2204995619459905,0.2496938775510204
68,5,0.2292114512471655,0.2051020408163265
69,7,0.2232595562034337,0.2215306122448979
70,8,0.2342921930677032,0.2168367346938775
71,6,0.2481313775510203,0.2292857142857142
72,6,0.2486407344892844,0.2256122448979591
73,4,0.2480424026753558,0.235
74,6,0.2379174702848172,0.3108163265306122
75,0,0.264562074829932,0.2940816326530612
76,3,0.2480983302411874,0.2865306122448979
77,6,0.2254327826368642,0.2213265306122449
78,4,0.219304664723032,0.2421428571428571
79,3,0.2471508746355685,0.2688775510204081
80,7,0.2262352825745683,0.2330612244897958
81,6,0.2246350078492935,0.2058163265306122
82,7,0.2179755830903789,0.2176530612244898
83,5,0.235634110787172,0.2283673469387755
84,7,0.2304557823129251,0.1923469387755102
85,1,0.2645986394557823,0.291938775510204
86,4,0.2474212685074029,0.2477551020408163
87,5,0.2563079777365491,0.2611224489795918
88,2,0.2499566969645001,0.2619387755102041
89,2,0.2544544055717525,0.2536734693877551
90,6,0.2544422769107643,0.2256122448979591
91,4,0.249697236037272,0.2383673469387755
92,5,0.2327897510652612,0.2588775510204081
93,1,0.2964925788497217,0.3165306122448979
94,2,0.2543996169896529,0.2496938775510204
95,3,0.2335860526028593,0.2602040816326531
96,7,0.220628896103896,0.2445918367346939
97,8,0.2330839674473214,0.2474489795918367
98,4,0.2332792604221176,0.1854081632653061
99,9,0.2138664965986394,0.2230612244897959
100,4,0.2332874149659864,0.238469387755102
101,5,0.2333928571428571,0.2364285714285714
102,3,0.2598765792031098,0.3068367346938776
103,8,0.2243367022999676,0.241734693877551
104,3,0.2505680118201126,0.2498979591836734
105,5,0.240360544217687,0.2604081632653061
106,5,0.2502074829931973,0.2712244897959184
107,4,0.2364948979591837,0.273265306122449
108,5,0.2289030612244898,0.2720408163265306
109,5,0.2217694363459669,0.2201020408163265
110,2,0.2574399092970521,0.2612244897959183
111,3,0.2606469671201814,0.2513265306122448
112,7,0.2270797529538131,0.2509183673469387
113,4,0.2453782670963122,0.231734693877551
114,6,0.2280358431251288,0.2385714285714285
115,3,0.2557848139255702,0.2591836734693877
116,4,0.25903231292517,0.2768367346938775
117,5,0.2394290573372206,0.2789795918367347
118,2,0.2476120626822157,0.2070408163265306
119,3,0.2646778425655977,0.2839795918367347
120,6,0.2210489148040168,0.2063265306122448
121,7,0.2423335762876579,0.2254081632653061
122,1,0.2731139455782313,0.2731632653061224
123,6,0.2252076987391983,0.2139795918367347
124,5,0.2374821428571428,0.221734693877551
125,10,0.2179916512059369,0.2639795918367347
126,4,0.2280662264905962,0.2260204081632653
127,5,0.2332879818594104,0.2661224489795918
128,6,0.2526761418853255,0.2762244897959183
129,9,0.2352747956325387,0.2491836734693877
130,5,0.2501360544217687,0.2890816326530612
131,5,0.2450408692185008,0.2382653061224489
132,3,0.2484422983479105,0.2582653061224489
133,3,0.2563111471861472,0.2279591836734693
134,2,0.2531746127022237,0.2845918367346939
135,6,0.2287871572871573,0.2520408163265306
136,3,0.2416063698206555,0.2541836734693878
137,6,0.2241759560967244,0.235204081632653
138,3,0.2723316326530612,0.2741836734693877
139,4,0.2525993351886209,0.2204081632653061
140,7,0.2326621408636714,0.2236734693877551
141,6,0.2462615329532622,0.2846938775510204
142,5,0.2292286914765906,0.2333673469387754
143,7,0.2206612222811202,0.22
144,7,0.2200599655446594,0.2430612244897959
145,2,0.2677917660570722,0.271734693877551
146,4,0.2335062358276644,0.2461224489795918
147,5,0.2444145408163265,0.2814285714285715
148,6,0.248983987101334,0.2113265306122449
149,7,0.2272084548104956,0.2224489795918367
150,7,0.2245110544217687,0.2305102040816326
151,6,0.2348793326854551,0.2815306122448979
152,7,0.2328370848339336,0.248469387755102
153,5,0.2243008658008658,0.3044897959183673
