family,seed,units,sr,input_scale,leak,task,val_nmse,test_nmse,alpha,replicate,val_rank_pct
ESN,42,100,0.5,0.1,0.3,mackey_glass,0.0002903354933125,0.0002501512268116,1e-08,mackey_glass__seed42,0.925925925925926
ESN,42,100,0.5,0.1,0.3,narma10,0.3452921537828776,0.2968197013055986,0.0001,narma10__seed42,0.4814814814814814
ESN,42,100,0.5,0.1,0.3,lorenz,3.1664787552677723e-06,1.8486896232286412e-06,1e-08,lorenz__seed42,0.5555555555555556
ESN,42,100,0.5,0.1,0.3,sunspots_annual,0.1686604468126924,0.1957376375595077,1e-06,sunspots_annual__seed42,0.037037037037037
ESN,42,100,0.5,0.1,0.7,mackey_glass,1.7100677861414927e-05,1.5472699105531736e-05,1e-08,mackey_glass__seed42,0.4814814814814814
ESN,42,100,0.5,0.1,0.7,narma10,0.2598159340512522,0.2832357958215939,1e-08,narma10__seed42,0.2962962962962963
ESN,42,100,0.5,0.1,0.7,lorenz,9.163402330515285e-08,4.540331990020561e-08,1e-08,lorenz__seed42,0.2592592592592592
ESN,42,100,0.5,0.1,0.7,sunspots_annual,0.1955136572683686,0.1690150485214797,0.1,sunspots_annual__seed42,0.5185185185185185
ESN,42,100,0.5,0.1,1.0,mackey_glass,3.3260714071026807e-06,3.70792008580279e-06,1e-08,mackey_glass__seed42,0.2222222222222222
ESN,42,100,0.5,0.1,1.0,narma10,0.1777291061110335,0.3336133662528086,1e-08,narma10__seed42,0.074074074074074
ESN,42,100,0.5,0.1,1.0,lorenz,2.6987433045317283e-08,1.3684935524392725e-08,1e-08,lorenz__seed42,0.1851851851851851
ESN,42,100,0.5,0.1,1.0,sunspots_annual,0.2197735494380759,0.1956309044291265,1.0,sunspots_annual__seed42,0.7407407407407407
ESN,42,100,0.5,0.5,0.3,mackey_glass,7.552968957113872e-05,6.157069350938406e-05,1e-08,mackey_glass__seed42,0.7407407407407407
ESN,42,100,0.5,0.5,0.3,narma10,0.3580425975134197,0.2958750199239437,0.001,narma10__seed42,0.5925925925925926
ESN,42,100,0.5,0.5,0.3,lorenz,2.16250407207353e-07,1.6400278530377646e-07,1e-08,lorenz__seed42,0.3703703703703703
ESN,42,100,0.5,0.5,0.3,sunspots_annual,0.1744878184531104,0.2138455238191899,0.001,sunspots_annual__seed42,0.1111111111111111
ESN,42,100,0.5,0.5,0.7,mackey_glass,5.609533104346385e-06,6.789247628492619e-06,1e-08,mackey_glass__seed42,0.2962962962962963
ESN,42,100,0.5,0.5,0.7,narma10,0.3509028681491775,0.3282619793980043,0.0001,narma10__seed42,0.5555555555555556
ESN,42,100,0.5,0.5,0.7,lorenz,6.43567851543943e-09,3.775880812158492e-09,1e-08,lorenz__seed42,0.074074074074074
ESN,42,100,0.5,0.5,0.7,sunspots_annual,0.1914918216040653,0.1369508802148951,0.1,sunspots_annual__seed42,0.4074074074074074
ESN,42,100,0.5,0.5,1.0,mackey_glass,1.552321928265552e-06,2.185700741779938e-06,1e-08,mackey_glass__seed42,0.1111111111111111
ESN,42,100,0.5,0.5,1.0,narma10,0.6508390306359778,0.6239761963612148,0.0001,narma10__seed42,0.9629629629629628
ESN,42,100,0.5,0.5,1.0,lorenz,2.3169364093233592e-09,1.549271899307827e-09,1e-08,lorenz__seed42,0.037037037037037
ESN,42,100,0.5,0.5,1.0,sunspots_annual,0.2260525903070674,0.1250715784020376,0.01,sunspots_annual__seed42,0.7777777777777778
ESN,42,100,0.5,1.0,0.3,mackey_glass,7.961512365565538e-05,7.193947960261362e-05,1e-08,mackey_glass__seed42,0.8148148148148148
ESN,42,100,0.5,1.0,0.3,narma10,0.3860724932687314,0.2930968376423844,0.001,narma10__seed42,0.7777777777777778
ESN,42,100,0.5,1.0,0.3,lorenz,9.135911592632976e-07,1.9281543603078985e-07,1e-08,lorenz__seed42,0.5185185185185185
ESN,42,100,0.5,1.0,0.3,sunspots_annual,0.215908097909884,0.2892895243500049,0.01,sunspots_annual__seed42,0.7037037037037037
ESN,42,100,0.5,1.0,0.7,mackey_glass,1.073723565108082e-05,8.204885045315264e-06,1e-08,mackey_glass__seed42,0.4074074074074074
ESN,42,100,0.5,1.0,0.7,narma10,0.5351657975174188,0.4662801086011203,0.001,narma10__seed42,0.8888888888888888
ESN,42,100,0.5,1.0,0.7,lorenz,2.0280332668372275e-08,6.531835734250731e-09,1e-08,lorenz__seed42,0.1481481481481481
ESN,42,100,0.5,1.0,0.7,sunspots_annual,0.1938453960739072,0.1675972486644407,1.0,sunspots_annual__seed42,0.4444444444444444
ESN,42,100,0.5,1.0,1.0,mackey_glass,2.5426289402053665e-06,3.129745009870824e-06,1e-08,mackey_glass__seed42,0.1851851851851851
ESN,42,100,0.5,1.0,1.0,narma10,0.6666261588390348,0.7384355418927989,1.0,narma10__seed42,1.0
ESN,42,100,0.5,1.0,1.0,lorenz,8.569175907404367e-09,4.018724970990973e-09,1e-08,lorenz__seed42,0.1111111111111111
ESN,42,100,0.5,1.0,1.0,sunspots_annual,0.2323081123498806,0.1407227905487775,0.1,sunspots_annual__seed42,0.925925925925926
ESN,42,100,0.9,0.1,0.3,mackey_glass,7.180865354661627e-05,6.257700088934474e-05,1e-08,mackey_glass__seed42,0.7037037037037037
