seed,units,sr,input_scale,leak,MC
42.0,100.0,0.5,0.1,0.3,4.396374248647951
42.0,100.0,0.5,0.1,0.7,8.187468342808572
42.0,100.0,0.5,0.1,1.0,11.502803371677368
42.0,100.0,0.5,0.5,0.3,3.5993314424412777
42.0,100.0,0.5,0.5,0.7,6.490374191334773
42.0,100.0,0.5,0.5,1.0,8.311308859873815
42.0,100.0,0.5,1.0,0.3,2.5677349479730953
42.0,100.0,0.5,1.0,0.7,5.095014138812478
42.0,100.0,0.5,1.0,1.0,6.654127631619994
42.0,100.0,0.9,0.1,0.3,5.510040366749417
42.0,100.0,0.9,0.1,0.7,12.375018132756342
42.0,100.0,0.9,0.1,1.0,19.510513744692314
42.0,100.0,0.9,0.5,0.3,2.5856722544039936
42.0,100.0,0.9,0.5,0.7,7.954073539634544
42.0,100.0,0.9,0.5,1.0,11.092258449257542
42.0,100.0,0.9,1.0,0.3,2.1170319232755412
42.0,100.0,0.9,1.0,0.7,6.0089357563010175
42.0,100.0,0.9,1.0,1.0,7.741860316731433
42.0,100.0,1.1,0.1,0.3,2.059111457158753
42.0,100.0,1.1,0.1,0.7,11.930812801068418
42.0,100.0,1.1,0.1,1.0,15.915075939122188
42.0,100.0,1.1,0.5,0.3,2.139050990242022
42.0,100.0,1.1,0.5,0.7,8.379949325429864
42.0,100.0,1.1,0.5,1.0,11.765380116645092
42.0,100.0,1.1,1.0,0.3,1.9102973647703196
42.0,100.0,1.1,1.0,0.7,6.1514875698661395
42.0,100.0,1.1,1.0,1.0,7.98051248544216
43.0,100.0,0.5,0.1,0.3,4.439653617274938
43.0,100.0,0.5,0.1,0.7,7.943529481712785
43.0,100.0,0.5,0.1,1.0,10.8963603651562
43.0,100.0,0.5,0.5,0.3,3.9116247798569166
43.0,100.0,0.5,0.5,0.7,6.287289019605522
43.0,100.0,0.5,0.5,1.0,8.22259249263781
43.0,100.0,0.5,1.0,0.3,2.635276646864792
43.0,100.0,0.5,1.0,0.7,4.861323852260343
43.0,100.0,0.5,1.0,1.0,6.288243446778147
43.0,100.0,0.9,0.1,0.3,5.494423336591521
43.0,100.0,0.9,0.1,0.7,10.941374486463271
43.0,100.0,0.9,0.1,1.0,18.533150149620866
43.0,100.0,0.9,0.5,0.3,2.374955718602488
43.0,100.0,0.9,0.5,0.7,7.253071410835385
43.0,100.0,0.9,0.5,1.0,10.883376827729268
43.0,100.0,0.9,1.0,0.3,2.241812211439111
43.0,100.0,0.9,1.0,0.7,5.664952694733104
43.0,100.0,0.9,1.0,1.0,7.602546706886567
43.0,100.0,1.1,0.1,0.3,0.4885278611287508
43.0,100.0,1.1,0.1,0.7,9.400160183407312
43.0,100.0,1.1,0.1,1.0,13.47795491475824
43.0,100.0,1.1,0.5,0.3,1.4015892306792859
43.0,100.0,1.1,0.5,0.7,7.012110770448318
43.0,100.0,1.1,0.5,1.0,11.391641320938545
43.0,100.0,1.1,1.0,0.3,1.6282241467301133
43.0,100.0,1.1,1.0,0.7,5.690196151067181
43.0,100.0,1.1,1.0,1.0,8.127568454495995
44.0,100.0,0.5,0.1,0.3,5.217349953175856
44.0,100.0,0.5,0.1,0.7,8.522888011762932
44.0,100.0,0.5,0.1,1.0,11.348186304631714
44.0,100.0,0.5,0.5,0.3,4.329867284332471
44.0,100.0,0.5,0.5,0.7,6.678181801021882
44.0,100.0,0.5,0.5,1.0,8.291343382087849
44.0,100.0,0.5,1.0,0.3,2.1708403870825252
44.0,100.0,0.5,1.0,0.7,4.999096210836686
44.0,100.0,0.5,1.0,1.0,6.36335243029461
44.0,100.0,0.9,0.1,0.3,6.308137535083153
44.0,100.0,0.9,0.1,0.7,12.739456159389498
44.0,100.0,0.9,0.1,1.0,19.575227469192328
44.0,100.0,0.9,0.5,0.3,1.927928272262931
44.0,100.0,0.9,0.5,0.7,8.185213144036783
44.0,100.0,0.9,0.5,1.0,11.03553737746703
44.0,100.0,0.9,1.0,0.3,1.6153331256090508
44.0,100.0,0.9,1.0,0.7,6.014869774634722
44.0,100.0,0.9,1.0,1.0,7.639561460684054
44.0,100.0,1.1,0.1,0.3,5.467923025272099
44.0,100.0,1.1,0.1,0.7,12.239994249241782
44.0,100.0,1.1,0.1,1.0,14.574601774955827
44.0,100.0,1.1,0.5,0.3,2.415789100125491
44.0,100.0,1.1,0.5,0.7,8.611623233486437
44.0,100.0,1.1,0.5,1.0,11.248478825970041
44.0,100.0,1.1,1.0,0.3,1.809507213174673
44.0,100.0,1.1,1.0,0.7,6.247218402517548
44.0,100.0,1.1,1.0,1.0,7.991955718295095
