arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile,model,family,sr,input_scale,leak,replicate,val_rank_pct
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,42,0.02,0.1,0.08,96,2.6912549898489932e-05,1.2254793115873171e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,42,0.02,0.1,0.08,96,1.9225737002565377e-05,2.3348749521590983e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,42,0.02,0.1,0.08,96,0.1168803681468022,0.1246760503162402,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.02,0.1,0.08,96,0.1502000738766215,0.1853539165009058,1e-07,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,43,0.02,0.1,0.08,96,1.6041938007863603e-05,8.311301685007426e-06,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,43,0.02,0.1,0.08,96,1.5252149473687e-05,1.808347501297824e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,43,0.02,0.1,0.08,96,0.1262601670327492,0.1381678451985989,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.02,0.1,0.08,96,0.1585155619092035,0.194102431787993,1e-06,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,44,0.02,0.1,0.08,96,2.2048872162479783e-05,1.2931815854536476e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,44,0.02,0.1,0.08,96,2.108107616196432e-05,2.6080296795769298e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
