arch,task,seed,beta_pi,lambda_pi,gamma,features,qrc_val_nmse,qrc_test_nmse,qrc_alpha,n,layers,topology,mixer,input_mode,channel,task_profile,esn_val_nmse,esn_test_nmse,esn_alpha,sr,input_scale,leak,units,delta_esn_minus_qrc,qrc_wins
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,42,0.015,0.1,0.08,96,3.927616921899166e-05,1.8873084577445027e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.5624295383709466e-08,2.2619556768680673e-08,1e-08,0.9,0.1,1.0,100,-1.8850465020676345e-05,False
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,42,0.015,0.1,0.08,96,2.6210305691003135e-05,3.1437666162935006e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.58346689429869e-07,5.945854041771054e-07,1e-08,0.9,0.1,1.0,100,-3.08430807587579e-05,False
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,42,0.015,0.1,0.08,96,0.1203762306300703,0.1323526732725403,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1450311532769894,0.1829544851219022,0.01,0.9,0.1,1.0,100,0.05060181184936191,True
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.015,0.1,0.08,96,0.1458236612190826,0.1850443998184758,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.189404407918992,0.1373537973341167,1.0,0.9,0.1,1.0,100,-0.04769060248435911,False
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,43,0.015,0.1,0.08,96,2.30545183260329e-05,1.2339626975190756e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.21114192981969e-08,3.572586273517316e-08,1e-08,0.9,0.1,1.0,100,-1.2303901112455582e-05,False
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,43,0.015,0.1,0.08,96,1.993645605030349e-05,2.3653757840860343e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,4.401451449592472e-07,6.163240225598914e-07,1e-08,0.9,0.1,1.0,100,-2.3037433818300452e-05,False
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,43,0.015,0.1,0.08,96,0.1267300086065239,0.1405556788423523,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1367964453601346,0.1844185589719142,0.01,0.9,0.1,1.0,100,0.04386288012956191,True
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.015,0.1,0.08,96,0.1521308494396033,0.1779006126233814,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1940864684771419,0.1494517518507524,1.0,0.9,0.1,1.0,100,-0.02844886077262898,False
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,44,0.015,0.1,0.08,96,3.268124554384399e-05,1.9295263501555666e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,6.944218709840298e-09,7.527677750581452e-09,1e-08,0.9,0.1,1.0,100,-1.9287735823805085e-05,False
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,44,0.015,0.1,0.08,96,2.762160214184925e-05,3.3622909529195595e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,7.325546268138828e-07,8.696242235746736e-07,1e-08,0.9,0.1,1.0,100,-3.275328530562092e-05,False
