seed,qrc_mean_nmse,esn_mean_nmse,delta_esn_minus_qrc,qrc_task_wins
42,0.08451826367822438,0.0946731797040215,0.010154916025797121,2
43,0.07533576752771609,0.09886299067081142,0.02352722314309532,2
44,0.07810569484738292,0.09951027375600201,0.021404578908619094,2
45,0.07542691505144566,0.10553242479157979,0.030105509740134123,1
46,0.07635653941335664,0.11277029427226018,0.03641375485890354,2
47,0.07480370476555603,0.10196369392178795,0.027159989156231915,2
48,0.0804180516416015,0.1403295501943977,0.05991149855279619,2
49,0.07194738781453776,0.09727520003279715,0.025327812218259384,2
50,0.07131433318870686,0.10236840901403599,0.031054075825329132,1
51,0.07774407006498094,0.10256468436105864,0.024820614296077716,2
