arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,42,0.005,0.05,0.05,96,0.0004270780846488469,0.0002931794923881597,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,42,0.005,0.05,0.05,96,0.0002160717792138373,0.00025801696803700485,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,42,0.005,0.05,0.05,96,0.14361344174212157,0.15363236223487775,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.005,0.05,0.05,96,0.18606147932099826,0.2845795694914332,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,43,0.005,0.05,0.05,96,0.00026472092889057646,0.00016356160948618735,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,43,0.005,0.05,0.05,96,0.0002060144419638521,0.0002406101616860862,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,43,0.005,0.05,0.05,96,0.14322942217936102,0.15321895632843824,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.005,0.05,0.05,96,0.1450331686979631,0.19269511312763327,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,44,0.005,0.05,0.05,96,0.00025359616077736785,0.00020831329893177702,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,44,0.005,0.05,0.05,96,0.0002319609273968047,0.0002655881733760389,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
