task,seed,readout,beta_pi,lambda_pi,gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
lorenz,42,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.224701529223726,1.0027727936859743,1000.0
mackey_glass,42,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0009141043704042,1.0035758941283497,1000.0
narma10,42,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0273018758182497,1.0241347104494594,1000.0
sunspots_annual,42,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.5276633357022736,1.0050956583100654,10.0
lorenz,43,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.214842632332358,0.997117600713116,1e-08
mackey_glass,43,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0009544512312958,1.007129964288251,1000.0
narma10,43,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0033117810671566,1.02943636876296,1000.0
sunspots_annual,43,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0088904101984655,1.0372432020489237,1000.0
lorenz,44,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.236411376851912,0.9911437394795809,1000.0
mackey_glass,44,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0014636587703012,1.0022646158344892,1000.0
narma10,44,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0022932878285562,1.028618456727031,1000.0
sunspots_annual,44,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.4309732026254371,0.8431714502214583,10.0
lorenz,45,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2197854052032198,1.0027000974541957,1000.0
mackey_glass,45,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0000802557324888,1.0030792052408766,1e-08
narma10,45,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0040790046159014,1.0315437498394087,1000.0
sunspots_annual,45,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0051482722619636,1.0089818441856586,1000.0
lorenz,46,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2198773893255686,1.0037565070770653,1000.0
mackey_glass,46,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9998587668083039,1.0028545625998397,1000.0
narma10,46,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9990790066335298,1.032303767714665,1e-08
sunspots_annual,46,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0051931280010544,1.0105426982142212,1000.0
lorenz,47,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2207408521519407,1.0032424956918193,1000.0
mackey_glass,47,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0003270187316349,1.0033837027153647,1000.0
narma10,47,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0064085254422037,1.0294019459274608,1000.0
sunspots_annual,47,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0227952574880481,1.005670359755402,1000.0
lorenz,48,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.219921447622481,1.0027106496733549,1000.0
mackey_glass,48,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9978462310068535,1.0067566181969134,1e-08
narma10,48,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.013644641950888,1.0316575164721344,1000.0
sunspots_annual,48,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0036078452828783,1.0183770597102122,1000.0
lorenz,49,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2197981711612944,1.004533962216373,1000.0
mackey_glass,49,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9969974953983682,1.009712853524111,1e-08
narma10,49,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0003473044332283,1.0376981998933763,100.0
sunspots_annual,49,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9807911535820412,1.0769582441589398,1000.0
lorenz,50,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2197924163347116,1.0026835539174408,1000.0
mackey_glass,50,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0001444114831513,1.0030184018228379,1000.0
narma10,50,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0036186269961087,1.0347493710492328,1e-08
sunspots_annual,50,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0237309296055594,1.0003670741465767,1000.0
lorenz,51,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2198013063849946,1.0026508492344188,1000.0
mackey_glass,51,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0003207574820498,1.0032621189582052,1000.0
narma10,51,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0050632885775972,1.0297677565046508,1000.0
sunspots_annual,51,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0190390554510182,1.0406020373694473,1000.0
lorenz,52,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.219820955158918,1.0351357029682,0.1
mackey_glass,52,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.8471932899793592,1.2527528018903418,1.0
narma10,52,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0327037503509433,1.006426788386598,1000.0
sunspots_annual,52,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0036734783593766,1.011446245782072,1000.0
lorenz,53,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.995915100516672,1.322485676266673,1e-08
mackey_glass,53,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9981734449205025,1.0035813093804073,100.0
