family,seed,beta_pi,lambda_pi,gamma,MC
QRC,42,0.0,0.0,0.0,0.0
QRC,42,0.0,0.0,0.05,0.0
QRC,42,0.0,0.0,0.12,0.0
QRC,42,0.0,0.0,0.22,0.0
QRC,42,0.0,0.0,0.3,0.0
QRC,42,0.0,0.05,0.0,0.0
QRC,42,0.0,0.05,0.05,0.0
QRC,42,0.0,0.05,0.12,0.0
QRC,42,0.0,0.05,0.22,0.0
QRC,42,0.0,0.05,0.3,0.0
QRC,42,0.0,0.1,0.0,0.0
QRC,42,0.0,0.1,0.05,0.0
QRC,42,0.0,0.1,0.12,0.0
QRC,42,0.0,0.1,0.22,0.0
QRC,42,0.0,0.1,0.3,0.0
QRC,42,0.0,0.12,0.0,0.0
QRC,42,0.0,0.12,0.05,0.0
QRC,42,0.0,0.12,0.12,0.0
QRC,42,0.0,0.12,0.22,0.0
QRC,42,0.0,0.12,0.3,0.0
QRC,42,0.0,0.16,0.0,0.0
QRC,42,0.0,0.16,0.05,0.0
QRC,42,0.0,0.16,0.12,0.0
QRC,42,0.0,0.16,0.22,0.0
QRC,42,0.0,0.16,0.3,0.0
QRC,42,0.0,0.28,0.0,0.0
QRC,42,0.0,0.28,0.05,0.0
QRC,42,0.0,0.28,0.12,0.0
QRC,42,0.0,0.28,0.22,0.0
QRC,42,0.0,0.28,0.3,0.0
QRC,42,0.0,0.42,0.0,0.0
QRC,42,0.0,0.42,0.05,0.0
QRC,42,0.0,0.42,0.12,0.0
QRC,42,0.0,0.42,0.22,0.0
QRC,42,0.0,0.42,0.3,0.0
QRC,42,0.02,0.0,0.0,0.0
QRC,42,0.02,0.0,0.05,0.0
QRC,42,0.02,0.0,0.12,0.0
QRC,42,0.02,0.0,0.22,0.0
QRC,42,0.02,0.0,0.3,0.0
QRC,42,0.02,0.05,0.0,0.0
QRC,42,0.02,0.05,0.05,11.288492461521574
QRC,42,0.02,0.05,0.12,10.686080578652582
QRC,42,0.02,0.05,0.22,8.511087700776436
QRC,42,0.02,0.05,0.3,7.112756944309199
QRC,42,0.02,0.1,0.0,0.0
QRC,42,0.02,0.1,0.05,12.07190629828938
QRC,42,0.02,0.1,0.12,10.644552936371294
QRC,42,0.02,0.1,0.22,8.10092906562974
QRC,42,0.02,0.1,0.3,6.338422058952222
QRC,42,0.02,0.12,0.0,0.0
QRC,42,0.02,0.12,0.05,12.19035497708999
QRC,42,0.02,0.12,0.12,10.305332226208456
QRC,42,0.02,0.12,0.22,7.490705508169267
QRC,42,0.02,0.12,0.3,6.194781151796727
QRC,42,0.02,0.16,0.0,0.0
QRC,42,0.02,0.16,0.05,11.60570559836595
QRC,42,0.02,0.16,0.12,8.789519023418894
QRC,42,0.02,0.16,0.22,6.736139837118728
QRC,42,0.02,0.16,0.3,5.5444033073619
QRC,42,0.02,0.28,0.0,0.0
QRC,42,0.02,0.28,0.05,10.341573967591144
QRC,42,0.02,0.28,0.12,8.098772316838133
QRC,42,0.02,0.28,0.22,5.7972709883622375
QRC,42,0.02,0.28,0.3,4.871135570599013
QRC,42,0.02,0.42,0.0,0.0
QRC,42,0.02,0.42,0.05,11.868308836257963
QRC,42,0.02,0.42,0.12,10.647401127598943
QRC,42,0.02,0.42,0.22,8.044814049693366
QRC,42,0.02,0.42,0.3,6.784149860508053
QRC,42,0.04,0.0,0.0,0.0
QRC,42,0.04,0.0,0.05,0.0
QRC,42,0.04,0.0,0.12,0.0
QRC,42,0.04,0.0,0.22,0.0
QRC,42,0.04,0.0,0.3,0.0
QRC,42,0.04,0.05,0.0,0.0
QRC,42,0.04,0.05,0.05,9.955588323476732
QRC,42,0.04,0.05,0.12,9.292020796878646
QRC,42,0.04,0.05,0.22,7.548452963920655
QRC,42,0.04,0.05,0.3,6.404365171254118
QRC,42,0.04,0.1,0.0,0.0
QRC,42,0.04,0.1,0.05,10.562581415375064
QRC,42,0.04,0.1,0.12,9.496513277987486
QRC,42,0.04,0.1,0.22,7.022561569217277
QRC,42,0.04,0.1,0.3,5.637820834646532
QRC,42,0.04,0.12,0.0,0.0
QRC,42,0.04,0.12,0.05,10.745373055552594
QRC,42,0.04,0.12,0.12,8.959232422372377
QRC,42,0.04,0.12,0.22,6.501345220304874
QRC,42,0.04,0.12,0.3,5.664608219344999
QRC,42,0.04,0.16,0.0,0.0
QRC,42,0.04,0.16,0.05,10.138972644927422
QRC,42,0.04,0.16,0.12,7.546361611751872
QRC,42,0.04,0.16,0.22,6.159394964678531
QRC,42,0.04,0.16,0.3,5.261090148640847
QRC,42,0.04,0.28,0.0,0.0
QRC,42,0.04,0.28,0.05,8.33048162966253
QRC,42,0.04,0.28,0.12,6.908526757061171
QRC,42,0.04,0.28,0.22,5.136121930393532
QRC,42,0.04,0.28,0.3,4.69274709055812
QRC,42,0.04,0.42,0.0,0.0
QRC,42,0.04,0.42,0.05,10.254286960381236
QRC,42,0.04,0.42,0.12,9.155451144846255
QRC,42,0.04,0.42,0.22,7.035778307902889
QRC,42,0.04,0.42,0.3,5.955484355050256
QRC,42,0.07,0.0,0.0,0.0
QRC,42,0.07,0.0,0.05,0.0
QRC,42,0.07,0.0,0.12,0.0
QRC,42,0.07,0.0,0.22,0.0
QRC,42,0.07,0.0,0.3,0.0
QRC,42,0.07,0.05,0.0,0.0
QRC,42,0.07,0.05,0.05,8.34209609656561
QRC,42,0.07,0.05,0.12,7.927207765536512
QRC,42,0.07,0.05,0.22,6.653496334060236
QRC,42,0.07,0.05,0.3,5.714678706429018
QRC,42,0.07,0.1,0.0,0.0064131877537146
QRC,42,0.07,0.1,0.05,9.009144301925977
QRC,42,0.07,0.1,0.12,8.27487291690204
QRC,42,0.07,0.1,0.22,6.078268636993728
QRC,42,0.07,0.1,0.3,5.135481636770029
QRC,42,0.07,0.12,0.0,0.0
QRC,42,0.07,0.12,0.05,9.234456693526264
QRC,42,0.07,0.12,0.12,7.7464969636581085
QRC,42,0.07,0.12,0.22,5.795450681100201
QRC,42,0.07,0.12,0.3,5.17380517191107
QRC,42,0.07,0.16,0.0,0.0163834447017989
QRC,42,0.07,0.16,0.05,8.494776818398591
QRC,42,0.07,0.16,0.12,6.591963325624705
QRC,42,0.07,0.16,0.22,5.3014586994936
QRC,42,0.07,0.16,0.3,4.6209963631189295
QRC,42,0.07,0.28,0.0,0.0015537319241712
QRC,42,0.07,0.28,0.05,6.540488854201973
QRC,42,0.07,0.28,0.12,5.624167362194832
QRC,42,0.07,0.28,0.22,4.64304587153047
QRC,42,0.07,0.28,0.3,4.225473657082473
QRC,42,0.07,0.42,0.0,0.0
QRC,42,0.07,0.42,0.05,8.566906157672538
QRC,42,0.07,0.42,0.12,7.863770378245075
QRC,42,0.07,0.42,0.22,6.140727825111586
QRC,42,0.07,0.42,0.3,5.249848310846508
QRC,42,0.1,0.0,0.0,0.0
QRC,42,0.1,0.0,0.05,0.0
QRC,42,0.1,0.0,0.12,0.0
QRC,42,0.1,0.0,0.22,0.0
QRC,42,0.1,0.0,0.3,0.0
