variant,task,seed,readout,beta_pi,lambda_pi,gamma,effective_gamma,nominal_gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
base_amplitude_rxzz,lorenz,42,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,42,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,42,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713794,1e-08
base_amplitude_rxzz,sunspots_annual,42,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.003341435456078,1.012169123490572,1e-08
base_amplitude_rxzz,lorenz,43,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811031,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,43,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,43,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,43,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0021774477886007,1.0148569558149128,0.0001
base_amplitude_rxzz,lorenz,44,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110323,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,44,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,44,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,44,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0022977198245944,1.0145367049580916,1e-06
base_amplitude_rxzz,lorenz,45,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811034,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,45,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,45,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713794,1e-08
base_amplitude_rxzz,sunspots_annual,45,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0031280571494192,1.01260294329864,1e-05
base_amplitude_rxzz,lorenz,46,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,46,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,46,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,46,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0037101319820685,1.0114676810992982,1e-08
base_amplitude_rxzz,lorenz,47,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,47,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,47,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,47,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0021252177935882,1.014999894773973,1e-07
base_amplitude_rxzz,lorenz,48,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,48,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,48,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,48,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.00319749700641,1.012459346308787,1e-07
base_amplitude_rxzz,lorenz,49,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,49,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,49,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,49,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0037356902672487,1.0114211269861086,1e-08
base_amplitude_rxzz,lorenz,50,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811031,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,50,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,50,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,50,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0032782950601784,1.0122952272881467,1e-05
base_amplitude_rxzz,lorenz,51,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811033,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,51,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,51,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,51,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0022391632911969,1.0146911140862214,1e-08
base_amplitude_rxzz,lorenz,52,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110297,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,52,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,52,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.02735104227138,1e-08
base_amplitude_rxzz,sunspots_annual,52,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0025788385823995,1.013832058750758,0.0001
