seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples,mean_val_rank,mean_val_nmse,mean_test_nmse
42,0.0,0.0,0.0,0.011940018195351731,0.055457284525760375,0.0003718094845864828,0.05582909401034686,0.6037624689411255,12.955753658442124,16,750,0.8622448979591837,1.3061395848339776,1.0104754655201469
42,0.0,0.0,0.05,0.0,0.0,0.0,0.0,3.2325041165998917e-07,5.829263001717272,16,750,0.8316326530612245,1.3070547364142842,1.0111116011212327
42,0.0,0.0,0.12,0.0,0.0,0.0,0.0,7.646457582915073e-15,0.0,16,750,0.8612244897959184,1.3069433962210761,1.0113219634969255
42,0.0,0.0,0.22,0.0,0.0,0.0,0.0,3.858878494194044e-15,0.0,16,750,0.860204081632653,1.3072475523938198,1.0107910913099927
42,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.7219202312621354e-15,0.0,16,750,0.8806122448979592,1.3073819028580136,1.0105936936418913
42,0.0,0.05,0.0,0.0,0.0,0.03138038943962107,0.03138038943962107,0.414409166334908,12.13375168021042,16,750,0.9785714285714286,1.3089210022072395,1.0109062258267316
42,0.0,0.05,0.05,0.0,0.0,0.0,0.0,1.76442451632696e-07,5.287961381309209,16,750,0.814795918367347,1.306576625119292,1.0122097649713078
42,0.0,0.05,0.12,0.0,0.0,0.0,0.0,4.846857635302301e-14,0.0,16,750,0.8489795918367347,1.3065447745462486,1.0123084410831378
42,0.0,0.05,0.22,0.0,0.0,0.0,0.0,4.464759830361248e-15,0.0,16,750,0.8663265306122448,1.3071370523690211,1.0109689011518064
42,0.0,0.05,0.3,0.0,0.0,0.0,0.0,1.2415539883647532e-15,0.0,16,750,0.8806122448979592,1.3073819028580136,1.0105936936418913
42,0.0,0.1,0.0,0.0005403162116749405,0.018088854221000372,0.03943433311360822,0.057523187334608594,0.31553921503108695,9.805569087708168,16,750,0.8040816326530612,1.2863618406072177,0.9264502210334211
42,0.0,0.1,0.05,0.0,0.0,0.0,0.0,8.878118324696283e-09,0.0,16,750,0.846938775510204,1.3066660700625612,1.0119570900510766
42,0.0,0.1,0.12,0.0,0.0,0.0,0.0,4.006492021300422e-15,0.0,16,750,0.8571428571428571,1.306685348614318,1.0119063430590352
42,0.0,0.1,0.22,0.0,0.0,0.0,0.0,4.798620562281558e-15,0.0,16,750,0.8704081632653061,1.307304083898098,1.0107056965391619
42,0.0,0.1,0.3,0.0,0.0,0.0,0.0,3.9767283138713e-15,0.0,16,750,0.8765306122448979,1.307381897945156,1.0105937005209145
42,0.0,0.12,0.0,0.0,0.014740968665941434,0.005709184394170896,0.02045015306011233,0.32964181014177774,8.894715514468052,16,750,0.8846938775510205,1.2174496970307584,0.9573655446441822
42,0.0,0.12,0.05,0.0,0.0,0.0,0.0,1.7684657471358093e-09,0.0,16,750,0.85,1.3065465170045063,1.0123029649628026
42,0.0,0.12,0.12,0.0,0.0,0.0,0.0,5.1815837491609204e-15,0.0,16,750,0.8413265306122448,1.3066598311393984,1.011973849372787
42,0.0,0.12,0.22,0.0,0.0,0.0,0.0,6.393870301843182e-15,0.0,16,750,0.8698979591836735,1.3073819028580134,1.0105936936418913
42,0.0,0.12,0.3,0.0,0.0,0.0,0.0,1.1566902188471692e-15,0.0,16,750,0.8806122448979592,1.3073819028580136,1.0105936936418913
42,0.0,0.16,0.0,0.0,0.018876126556092276,0.025697464940611092,0.04457359149670337,0.27226416485542215,9.008213779035152,16,750,0.813265306122449,1.3007845109200302,1.0228434397764958
42,0.0,0.16,0.05,0.0,0.0,0.0,0.0,6.432885941581513e-11,0.0,16,750,0.8622448979591837,1.3069673416213772,1.0112750075365067
42,0.0,0.16,0.12,0.0,0.0,0.0,0.0,5.061543904393503e-15,0.0,16,750,0.8443877551020408,1.3066909067494206,1.0118919194411777
42,0.0,0.16,0.22,0.0,0.0,0.0,0.0,5.683209859856865e-15,0.0,16,750,0.8668367346938776,1.3073819028580134,1.0105936936418916
42,0.0,0.16,0.3,0.0,0.0,0.0,0.0,2.430059423490569e-15,0.0,16,750,0.8806122448979592,1.3073819028580136,1.0105936936418916
42,0.0,0.28,0.0,0.0,0.016315155039116513,0.004521159983444933,0.020836315022561447,0.28548063232577736,6.979560138353792,16,750,0.9795918367346939,1.3142265006536749,1.01752938373038
42,0.0,0.28,0.05,0.0,0.0,0.0,0.0,1.5423201722916621e-13,0.0,16,750,0.85,1.3068070289459788,1.0116109159955466
42,0.0,0.28,0.12,0.0,0.0,0.0,0.0,7.486186677749853e-15,0.0,16,750,0.8301020408163265,1.3069045513511386,1.0114003929057453
42,0.0,0.28,0.22,0.0,0.0,0.0,0.0,5.803569992323292e-15,0.0,16,750,0.861734693877551,1.3073818634023733,1.0105937488886199
42,0.0,0.28,0.3,0.0,0.0,0.0,0.0,5.681126533833512e-15,0.0,16,750,0.8775510204081632,1.307381902857127,1.0105936936431328
42,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.35668036488568566,11.053130685966295,16,750,0.8418367346938775,1.3079973695184535,1.0118610294578603
42,0.0,0.42,0.05,0.0,0.0,0.0,0.0,4.2454710778788256e-08,3.527989904797473,16,750,0.8193877551020408,1.306610704752741,1.0121099940832723
