budget_pct,MC (QRC),input score,regime heuristic,MC (ESN),random
5,10.526315789473685,0.0,18.62348178137652,37.03703703703704,5.0
10,23.88663967611336,0.0,30.364372469635626,44.44444444444444,10.0
15,37.24696356275304,0.8097165991902834,33.19838056680162,62.96296296296296,15.0
20,52.22672064777328,8.097165991902834,36.43724696356275,70.37037037037037,20.0
25,65.9919028340081,13.765182186234817,42.51012145748988,81.48148148148148,25.0
30,80.56680161943319,18.62348178137652,53.036437246963565,85.18518518518519,30.0
35,91.90283400809717,28.34008097165992,59.51417004048583,92.5925925925926,35.0
40,96.76113360323886,37.24696356275304,62.75303643724696,92.5925925925926,40.0
45,97.97570850202429,48.178137651821864,66.80161943319838,92.5925925925926,45.0
50,100.0,57.89473684210526,70.44534412955466,96.29629629629629,50.0
55,100.0,67.61133603238866,74.89878542510121,100.0,55.0
60,100.0,76.92307692307692,81.78137651821862,100.0,60.0
65,100.0,82.99595141700405,85.82995951417004,100.0,65.0
70,100.0,92.71255060728745,89.06882591093117,100.0,70.0
75,100.0,97.16599190283401,90.2834008097166,100.0,75.0
80,100.0,100.0,93.52226720647774,100.0,80.0
85,100.0,100.0,97.16599190283401,100.0,85.0
90,100.0,100.0,98.38056680161944,100.0,90.0
95,100.0,100.0,100.0,100.0,95.0
100,100.0,100.0,100.0,100.0,100.0
