budget_pct,MC,$f_{20}$,stability,ESN MC,random
5,4.0,52.0,0.0,33.333333333333336,5.0
10,24.0,80.0,0.0,66.66666666666667,10.0
15,44.0,92.0,4.0,66.66666666666667,15.0
20,56.0,96.0,8.0,66.66666666666667,20.0
25,72.0,100.0,20.0,66.66666666666667,25.0
30,88.0,100.0,20.0,66.66666666666667,30.0
35,100.0,100.0,28.0,66.66666666666667,35.0
40,100.0,100.0,44.0,66.66666666666667,40.0
45,100.0,100.0,48.0,100.0,45.0
50,100.0,100.0,60.0,100.0,50.0
55,100.0,100.0,60.0,100.0,55.0
60,100.0,100.0,80.0,100.0,60.0
65,100.0,100.0,84.0,100.0,65.0
70,100.0,100.0,92.0,100.0,70.0
75,100.0,100.0,100.0,100.0,75.0
80,100.0,100.0,100.0,100.0,80.0
85,100.0,100.0,100.0,100.0,85.0
90,100.0,100.0,100.0,100.0,90.0
95,100.0,100.0,100.0,100.0,95.0
100,100.0,100.0,100.0,100.0,100.0
