budget_pct,IPCmem,MC,IPCtot,Vfeat,reff,random
5,10.931174089068826,17.004048582995953,16.194331983805668,0.0,0.0,5.0
10,23.076923076923077,29.959514170040485,29.149797570850204,0.0,0.0,10.0
15,36.43724696356275,41.29554655870445,44.12955465587044,0.0,0.0,15.0
20,50.202429149797574,52.63157894736842,58.29959514170041,0.0,0.0,20.0
25,64.77732793522267,68.42105263157895,74.89878542510121,0.0,1.6194331983805668,25.0
30,79.75708502024291,80.56680161943319,86.63967611336032,1.6194331983805668,4.8582995951417,30.0
35,92.3076923076923,92.71255060728745,93.92712550607287,4.048582995951417,10.121457489878543,35.0
40,95.95141700404858,95.95141700404858,98.38056680161944,9.7165991902834,18.62348178137652,40.0
45,98.78542510121457,98.78542510121457,100.0,16.194331983805668,30.76923076923077,45.0
50,100.0,100.0,100.0,26.31578947368421,41.70040485829959,50.0
55,100.0,100.0,100.0,43.7246963562753,48.987854251012145,55.0
60,100.0,100.0,100.0,60.32388663967611,58.70445344129555,60.0
65,100.0,100.0,100.0,73.27935222672065,68.82591093117409,65.0
70,100.0,100.0,100.0,84.21052631578948,79.75708502024291,70.0
75,100.0,100.0,100.0,91.49797570850203,86.63967611336032,75.0
80,100.0,100.0,100.0,96.76113360323886,91.90283400809717,80.0
85,100.0,100.0,100.0,100.0,96.76113360323886,85.0
90,100.0,100.0,100.0,100.0,100.0,90.0
95,100.0,100.0,100.0,100.0,100.0,95.0
100,100.0,100.0,100.0,100.0,100.0,100.0
